Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"January 1, 2026 - March 20, 2026"
Statement,Data,WhenGenerated,"2026-03-21, 07:18:22 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,0.0
Summary,Data,Change,488092.3059
Summary,Data,Ending Cash,488092.3059
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2026-03-20,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,-3625.0,-,-3625.0
Transaction History,Data,2026-03-20,DUO116877,CC JUN26 3300 C,Buy,COM6 C3300,20.0,180.0,USD,-36000.0,-59.4,-36059.4
Transaction History,Data,2026-03-20,DUO116877,FX Translations P&L,Adjustment,-,-,-,-,80.94776399992406,-,80.94776399992406
Transaction History,Data,2026-03-19,DUO116877,TFM APR26 Position MTM,Position MTM,TFMJ6,-,-,-,-29996.9676,-,-29996.9676
Transaction History,Data,2026-03-19,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,3375.0,-,3375.0
Transaction History,Data,2026-03-19,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,2474.94,-,2474.94
Transaction History,Data,2026-03-19,DUO116877,FCPO.MY 15JUN26 Position MTM,Position MTM,FCPOM6,-,-,-,5267.18,-,5267.18
Transaction History,Data,2026-03-19,DUO116877,GC MAY26 5400 C,Sell,OGK6 C5400,-8.0,30.0,USD,24000.0,-20.16,23979.84
Transaction History,Data,2026-03-19,DUO116877,TFM APR26,Buy,TFMJ6,5.0,67.4,EUR,-281195.49600000004(1),-28.9725,-23175.45042
Transaction History,Data,2026-03-19,DUO116877,TFM MAY26,Buy,TFMK6,5.0,66.85,EUR,-288197.5698(1),-28.9725,-21752.645712
Transaction History,Data,2026-03-19,DUO116877,TFM MAY26,Sell,TFMK6,-5.0,64.0,EUR,275910.912(1),-28.9725,9408.042912
Transaction History,Data,2026-03-19,DUO116877,System Transfer from DUO116877,Deposit,-,-,-,-,15179.19,-,15179.19
Transaction History,Data,2026-03-19,DUO116877,System Transfer to DUO116877C,Withdrawal,-,-,-,-,-15179.19,-,-15179.19
Transaction History,Data,2026-03-18,DUO116877,TFM APR26 Position MTM,Position MTM,TFMJ6,-,-,-,-12792.800159999999,-,-12792.800159999999
Transaction History,Data,2026-03-18,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,2375.0,-,2375.0
Transaction History,Data,2026-03-18,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-1276.65,-,-1276.65
Transaction History,Data,2026-03-18,DUO116877,FCPO.MY 15JUN26 Position MTM,Position MTM,FCPOM6,-,-,-,-3383.1225,-,-3383.1225
Transaction History,Data,2026-03-18,DUO116877,System Transfer from DUO116877,Deposit,-,-,-,-,7036.09,-,7036.09
Transaction History,Data,2026-03-18,DUO116877,System Transfer to DUO116877C,Withdrawal,-,-,-,-,-7036.09,-,-7036.09
Transaction History,Data,2026-03-17,DUO116877,TFM APR26 Position MTM,Position MTM,TFMJ6,-,-,-,-2791.9987199999996,-,-2791.9987199999996
Transaction History,Data,2026-03-17,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,875.0,-,875.0
Transaction History,Data,2026-03-17,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-2611.8025,-,-2611.8025
Transaction History,Data,2026-03-17,DUO116877,FCPO.MY 15JUN26,Buy,FCPOM6,1.0,4600.0,MYR,-29303.149999999998(1),-1.5594371999999999,-122.5941872
Transaction History,Data,2026-03-17,DUO116877,FCPO.MY 15JUN26,Buy,FCPOM6,1.0,4600.0,MYR,-29303.149999999998(1),-1.5594371999999999,-122.5941872
